	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV477	unknown	unknown	unknown	unknown	unknown
ASV479	unknown	unknown	unknown	unknown	unknown
ASV481	unknown	unknown	unknown	unknown	unknown
ASV483	unknown	unknown	unknown	unknown	unknown
ASV484	unknown	unknown	unknown	unknown	unknown
ASV485	unknown	unknown	unknown	unknown	unknown
ASV487	unknown	unknown	unknown	unknown	unknown
ASV488	unknown	unknown	unknown	unknown	unknown
ASV489	unknown	unknown	unknown	unknown	unknown
ASV491	unknown	unknown	unknown	unknown	unknown
ASV492	unknown	unknown	unknown	unknown	unknown
ASV493	unknown	unknown	unknown	unknown	unknown
ASV494	unknown	unknown	unknown	unknown	unknown
ASV495	unknown	unknown	unknown	unknown	unknown
ASV496	unknown	unknown	unknown	unknown	unknown
ASV497	unknown	unknown	unknown	unknown	unknown
ASV498	unknown	unknown	unknown	unknown	unknown
ASV499	unknown	unknown	unknown	unknown	unknown
ASV501	unknown	unknown	unknown	unknown	unknown
ASV502	unknown	unknown	unknown	unknown	unknown
ASV503	unknown	unknown	unknown	unknown	unknown
ASV504	unknown	unknown	unknown	unknown	unknown
ASV505	unknown	unknown	unknown	unknown	unknown
ASV506	unknown	unknown	unknown	unknown	unknown
ASV507	unknown	unknown	unknown	unknown	unknown
ASV510	unknown	unknown	unknown	unknown	unknown
ASV511	unknown	unknown	unknown	unknown	unknown
ASV512	unknown	unknown	unknown	unknown	unknown
ASV513	unknown	unknown	unknown	unknown	unknown
ASV514	unknown	unknown	unknown	unknown	unknown
ASV515	unknown	unknown	unknown	unknown	unknown
ASV516	unknown	unknown	unknown	unknown	unknown
ASV517	unknown	unknown	unknown	unknown	unknown
ASV518	unknown	unknown	unknown	unknown	unknown
ASV519	unknown	unknown	unknown	unknown	unknown
ASV520	unknown	unknown	unknown	unknown	unknown
ASV521	unknown	unknown	unknown	unknown	unknown
ASV522	unknown	unknown	unknown	unknown	unknown
ASV523	unknown	unknown	unknown	unknown	unknown
ASV526	unknown	unknown	unknown	unknown	unknown
ASV529	unknown	unknown	unknown	unknown	unknown
ASV531	unknown	unknown	unknown	unknown	unknown
ASV532	unknown	unknown	unknown	unknown	unknown
ASV533	yes	anaerobe	unknown	unknown	unknown
ASV535	unknown	unknown	unknown	unknown	unknown
ASV536	unknown	unknown	unknown	unknown	unknown
ASV537	unknown	unknown	unknown	unknown	unknown
ASV538	unknown	unknown	unknown	unknown	unknown
ASV540	unknown	unknown	unknown	unknown	unknown
ASV543	unknown	unknown	unknown	unknown	unknown
ASV545	no	unknown	unknown	unknown	unknown
ASV546	unknown	unknown	unknown	unknown	unknown
ASV547	unknown	unknown	unknown	unknown	unknown
ASV549	unknown	unknown	unknown	unknown	unknown
ASV550	unknown	unknown	unknown	unknown	unknown
