	included_in_Bacdive	Physiology_and_metabolism_oxygen_tolerance_oxygen_tolerance	Morphology_cell_morphology_gram_stain	Physiology_and_metabolism_antibiotic_resistance_is_resistant	Morphology_cell_morphology_motility
ASV411	no	unknown	unknown	unknown	unknown
ASV412	yes	unknown	unknown	unknown	unknown
ASV414	unknown	unknown	unknown	unknown	unknown
ASV415	unknown	unknown	unknown	unknown	unknown
ASV416	unknown	unknown	unknown	unknown	unknown
ASV417	unknown	unknown	unknown	unknown	unknown
ASV418	yes	unknown	negative	unknown	unknown
ASV419	unknown	unknown	unknown	unknown	unknown
ASV420	unknown	unknown	unknown	unknown	unknown
ASV421	unknown	unknown	unknown	unknown	unknown
ASV422	unknown	unknown	unknown	unknown	unknown
ASV423	unknown	unknown	unknown	unknown	unknown
ASV424	unknown	unknown	unknown	unknown	unknown
ASV425	unknown	unknown	unknown	unknown	unknown
ASV426	unknown	unknown	unknown	unknown	unknown
ASV427	unknown	unknown	unknown	unknown	unknown
ASV428	unknown	unknown	unknown	unknown	unknown
ASV429	yes	unknown	unknown	unknown	unknown
ASV430	yes	unknown	positive	unknown	no
ASV431	unknown	unknown	unknown	unknown	unknown
ASV432	unknown	unknown	unknown	unknown	unknown
ASV433	unknown	unknown	unknown	unknown	unknown
ASV434	yes	anaerobe	unknown	unknown	unknown
ASV435	unknown	unknown	unknown	unknown	unknown
ASV436	unknown	unknown	unknown	unknown	unknown
ASV437	yes	anaerobe	unknown	unknown	unknown
ASV438	unknown	unknown	unknown	unknown	unknown
ASV439	unknown	unknown	unknown	unknown	unknown
ASV440	yes	anaerobe	unknown	unknown	unknown
ASV441	unknown	unknown	unknown	unknown	unknown
ASV442	unknown	unknown	unknown	unknown	unknown
ASV443	yes	obligate_anaerobe	negative	unknown	no
ASV444	unknown	unknown	unknown	unknown	unknown
ASV445	unknown	unknown	unknown	unknown	unknown
ASV446	unknown	unknown	unknown	unknown	unknown
ASV447	unknown	unknown	unknown	unknown	unknown
ASV448	unknown	unknown	unknown	unknown	unknown
ASV449	yes	anaerobe	unknown	unknown	unknown
ASV450	yes	anaerobe	unknown	unknown	unknown
ASV451	unknown	unknown	unknown	unknown	unknown
ASV452	unknown	unknown	unknown	unknown	unknown
